track_id,name,uri,genres,vietnamese_genres,emotion_genres
17iGUekw5nFt5mIRJcUm3R,Chúng Ta Của Hiện Tại,spotify:track:17iGUekw5nFt5mIRJcUm3R,"['v-pop', 'vinahouse', 'vietnamese hip hop']",['vietnamese hip hop'],['v-pop']
7LVrrX8pkzI9fMF88nGabt,Đi Về Nhà,spotify:track:7LVrrX8pkzI9fMF88nGabt,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']","['vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']",['v-pop']
6IAqflHsPVm4EpYghXauX7,Sinh Ra Đã Là Thứ Đối Lập Nhau,spotify:track:6IAqflHsPVm4EpYghXauX7,"['v-pop', 'vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop']","['vietnamese lo-fi', 'vietnam indie', 'vietnamese hip hop']",['v-pop']
7wkX67ruxr3x2GFz6vyIX9,Bước Qua Mùa Cô Đơn,spotify:track:7wkX67ruxr3x2GFz6vyIX9,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']","['vietnam indie', 'vietnamese lo-fi']",['v-pop']
2LykruN1mQlg9nuUaE7dvQ,Nàng Thơ,spotify:track:2LykruN1mQlg9nuUaE7dvQ,"['v-pop', 'vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']","['vietnam indie', 'vietnamese lo-fi', 'vietnamese hip hop']",['v-pop']
5Ojsg9xR0wlTpDIW1qLYz2,Đom Đóm,spotify:track:5Ojsg9xR0wlTpDIW1qLYz2,"['v-pop', 'vietnamese lo-fi', 'vinahouse']",['vietnamese lo-fi'],['v-pop']
5zH2inEP6THOY8tomr3DdZ,Trên Tình Bạn Dưới Tình Yêu,spotify:track:5zH2inEP6THOY8tomr3DdZ,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
3pyHABNUu0QxeyH1x8p7yf,Gặp Nhưng Không Ở Lại,spotify:track:3pyHABNUu0QxeyH1x8p7yf,"['v-pop', 'vinahouse', 'vietnam indie']",['vietnam indie'],['v-pop']
05RlEsnD2yUygC5Ukjy7RW,BLACKJACK,spotify:track:05RlEsnD2yUygC5Ukjy7RW,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
56JyO6Cav1GwtayPU7PXEx,từ thích thích thành thương thương,spotify:track:56JyO6Cav1GwtayPU7PXEx,"['v-pop', 'vietnamese hip hop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
3Mj39aPp9Ts9utchsXZcjZ,Lo Xa,spotify:track:3Mj39aPp9Ts9utchsXZcjZ,"['v-pop', 'vietnam indie', 'vinahouse']",['vietnam indie'],['v-pop']
0SmQ0UWeiHKQtxUej4Rem6,Tháng Năm,spotify:track:0SmQ0UWeiHKQtxUej4Rem6,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
6HpDKKSDZ8QpSHfikENIBC,Gác Lại Âu Lo,spotify:track:6HpDKKSDZ8QpSHfikENIBC,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']","['vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']",['v-pop']
42mIT9wfmgA48DTN8GmCxX,Giá Như,spotify:track:42mIT9wfmgA48DTN8GmCxX,"['v-pop', 'vietnam indie', 'vietnamese hip hop']","['vietnam indie', 'vietnamese hip hop']",['v-pop']
0167mYf0UIa3qBqy4NZgt5,CILU,spotify:track:0167mYf0UIa3qBqy4NZgt5,"['v-pop', 'vietnam indie', 'vietnamese hip hop']","['vietnam indie', 'vietnamese hip hop']",['v-pop']
2QIRuHGVTmp9HL2u4irHMt,Tình Yêu Xanh Lá (juju),spotify:track:2QIRuHGVTmp9HL2u4irHMt,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']","['vietnam indie', 'vietnamese lo-fi']",['v-pop']
4yAJOZ8ZBAKfXCI20hsVjf,Lời Đường Mật,spotify:track:4yAJOZ8ZBAKfXCI20hsVjf,"['v-pop', 'vietnamese hip hop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
4uky9M3nN9ymXPm8KmJDvb,Trò Chơi,spotify:track:4uky9M3nN9ymXPm8KmJDvb,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
5L6UkGeVNHy7CurA8aVhpy,Yêu Một Người Sao Buồn Đến Thế,spotify:track:5L6UkGeVNHy7CurA8aVhpy,"['v-pop', 'vinahouse']",[],['v-pop']
6jOP08e9PHDnoF3reZcePE,Qua Khung Cửa Sổ,spotify:track:6jOP08e9PHDnoF3reZcePE,"['v-pop', 'vietnam indie', 'vietnamese hip hop']","['vietnam indie', 'vietnamese hip hop']",['v-pop']
3sV8ExJeOGXbanczafavZv,Bigcityboi (feat. Touliver),spotify:track:3sV8ExJeOGXbanczafavZv,"['vietnamese hip hop', 'v-pop', 'vinahouse', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
3VOeGtJwJh2jslvQAFaaEn,Chuyện Rằng,spotify:track:3VOeGtJwJh2jslvQAFaaEn,"['v-pop', 'vietnam indie', 'vietnamese lo-fi']","['vietnam indie', 'vietnamese lo-fi']",['v-pop']
1AAGvzJRWMTKx7PNfeTvP4,Missing You,spotify:track:1AAGvzJRWMTKx7PNfeTvP4,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
2Jaaw8PrdUfPlU6o6tL5dl,Mascara,spotify:track:2Jaaw8PrdUfPlU6o6tL5dl,"['v-pop', 'vietnam indie', 'vietnamese hip hop']","['vietnam indie', 'vietnamese hip hop']",['v-pop']
6iXGivPFpsqKmrINhIbPvx,Buồn Thì Cứ Khóc Đi,spotify:track:6iXGivPFpsqKmrINhIbPvx,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']","['vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']",['v-pop']
2z9iLlNBt1aLZUCFgXby97,CÓ CHẮC YÊU LÀ ĐÂY,spotify:track:2z9iLlNBt1aLZUCFgXby97,"['v-pop', 'vinahouse', 'vietnamese hip hop']",['vietnamese hip hop'],['v-pop']
0J2otOvMdg62gVMMjwOvSK,Hoa Hải Đường,spotify:track:0J2otOvMdg62gVMMjwOvSK,"['v-pop', 'vietnamese lo-fi', 'vinahouse']",['vietnamese lo-fi'],['v-pop']
6jcG3yZ0e2CSI6omkYO1ut,Thích Quá Rùi Nà,spotify:track:6jcG3yZ0e2CSI6omkYO1ut,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vinahouse']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
6B1Io9VDzMAmwFjrplDJw8,từ chối nhẹ nhàng thôi,spotify:track:6B1Io9VDzMAmwFjrplDJw8,"['v-pop', 'vietnamese hip hop', 'vinahouse', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
22F7P7QnaVspdf5rKveBaS,Lối Nhỏ,spotify:track:22F7P7QnaVspdf5rKveBaS,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']","['vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']",['v-pop']
2AiZm17zqkV7llT3SHz4Nu,Bài Này Chill Phết,spotify:track:2AiZm17zqkV7llT3SHz4Nu,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']","['vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']",['v-pop']
703QXwWn5KdNaoviarYHAO,Trời hôm nay nhiều mây cực!,spotify:track:703QXwWn5KdNaoviarYHAO,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']","['vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']",['v-pop']
014DA3BdnmD3kI5pBogH7c,Cứ Chill Thôi,spotify:track:014DA3BdnmD3kI5pBogH7c,"['v-pop', 'vietnam indie', 'vietnamese hip hop']","['vietnam indie', 'vietnamese hip hop']",['v-pop']
3b34161QoxLwsqhWSPy9i5,Thanh Xuân,spotify:track:3b34161QoxLwsqhWSPy9i5,"['v-pop', 'vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi', 'vinahouse']","['vietnamese hip hop', 'vietnam indie', 'vietnamese lo-fi']",['v-pop']
4RZJObXQzsKQLd25LBjBG8,Em Bé,spotify:track:4RZJObXQzsKQLd25LBjBG8,"['v-pop', 'vietnamese hip hop', 'vietnam indie']","['vietnamese hip hop', 'vietnam indie']",['v-pop']
5uye47llqkE8Oyn56Y3IkW,Người Ơi Người Ở Đừng Về (feat. Suboi),spotify:track:5uye47llqkE8Oyn56Y3IkW,"['v-pop', 'vinahouse', 'vietnam indie']",['vietnam indie'],['v-pop']
39t3ly1KisXk4u57D6fKSE,Em Đã Thương Người Ta Hơn Anh,spotify:track:39t3ly1KisXk4u57D6fKSE,"['v-pop', 'vinahouse']",[],['v-pop']
