track_id,name,uri,genres
3rZYyvpOtgZzRDs0EzGocq,Chỉ Muốn Bên Em Lúc Này (['lofi'] Ver.),spotify:track:3rZYyvpOtgZzRDs0EzGocq,['lofi']
2MVeQRWuCf502Vp3yZ2x5z,Muộn Rồi Mà Sao Còn (Lo-fi Ver by 1 9 6 7) [feat. 1 9 6 7],spotify:track:2MVeQRWuCf502Vp3yZ2x5z,['lofi']
5llStJYcWGrEwjSOkMJ1JL,Đường Tôi Chở Em Về - ['lofi'],spotify:track:5llStJYcWGrEwjSOkMJ1JL,['lofi']
7i7KQbIfY2jKHOs9FAez9o,Gu (['lofi']),spotify:track:7i7KQbIfY2jKHOs9FAez9o,['lofi']
2AG652vgTirAZ5seLLmkzu,Kẻ Điên Tin Vào Tình Yêu - ['lofi'],spotify:track:2AG652vgTirAZ5seLLmkzu,['lofi']
1yIT0DTq8BrRy58Snf9sbC,Lời Em Nói - ['lofi'],spotify:track:1yIT0DTq8BrRy58Snf9sbC,['lofi']
1Qv4Gm6jCjK9wzZ9IXqFHE,Đánh Mất Em (['lofi'] Ver.),spotify:track:1Qv4Gm6jCjK9wzZ9IXqFHE,['lofi']
43EN6U5AgIu06bbZ0pfHv9,Anh Mệt Rồi (['lofi'] Ver.),spotify:track:43EN6U5AgIu06bbZ0pfHv9,['lofi']
788R2DoEe7XIzeZamawv6U,Đừng Gọi Anh Dậy,spotify:track:788R2DoEe7XIzeZamawv6U,['lofi']
1xoadYaxtOp9gHDwgmPDuz,Sài Gòn Hôm Nay Mưa,spotify:track:1xoadYaxtOp9gHDwgmPDuz,['lofi']
6IAqflHsPVm4EpYghXauX7,Sinh Ra Đã Là Thứ Đối Lập Nhau,spotify:track:6IAqflHsPVm4EpYghXauX7,['lofi']
6zTJvSZOSOgkQFZ97c5Rfj,Bông Hoa Chẳng Thuộc Về Ta - Wind Remix,spotify:track:6zTJvSZOSOgkQFZ97c5Rfj,['lofi']
2Egwgnn9bKSsE5OwTXppAb,Thanh Xuân Là Anh,spotify:track:2Egwgnn9bKSsE5OwTXppAb,['lofi']
4iDyFW4a7iCJh2VqSpwGQz,Ai Đưa Em Về,spotify:track:4iDyFW4a7iCJh2VqSpwGQz,['lofi']
27F22WcGDyl4Z2KylVJkXL,Đường Tôi Chở Em Về,spotify:track:27F22WcGDyl4Z2KylVJkXL,['lofi']
2PYDUM2IC01FOTDLQdFxJP,3 1 0 7 - 2 (feat. DuongG & Nau),spotify:track:2PYDUM2IC01FOTDLQdFxJP,['lofi']
42tPbidnAtGqLhzjbax7lY,Lời Nói Điêu Trên Môi Em,spotify:track:42tPbidnAtGqLhzjbax7lY,['lofi']
6it4anLhN4g8sMFkHIJKE2,Anh Yêu Em Nhiều Lắm (['lofi'] Ver.),spotify:track:6it4anLhN4g8sMFkHIJKE2,['lofi']
2dzORhCc70T4SzJUwSIp6d,Bông Hoa Đẹp Nhất (['lofi'] Ver.),spotify:track:2dzORhCc70T4SzJUwSIp6d,['lofi']
0niV56VrIWr6Fn6HrMHdmw,Về Với Anh Đi (['lofi'] Ver.),spotify:track:0niV56VrIWr6Fn6HrMHdmw,['lofi']
7bDUxLH5rIx6xOd7vzNMRo,Có Anh Ở Đây Rồi (['lofi'] Ver.),spotify:track:7bDUxLH5rIx6xOd7vzNMRo,['lofi']
3CxMDAxGAJqvWVyd2BVT3P,Níu Duyên (['lofi'] Ver.),spotify:track:3CxMDAxGAJqvWVyd2BVT3P,['lofi']
